RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
156;20_21_22;Bathroom;G;Sink;-4.464;-0.84;0.786;-4.68;-0.967;0.726
157;20_21_22;Bathroom;H;Toilet;-5.57;-0.044;0.128;-5.983;-0.403;0.467
158;20_21_22;Kitchen;I;Sink.001;-8.956;3.596;0.418;-8.803;3.63;0.708
159;20_21_22;Kitchen;J;Shelf.003;-7.364;2.734;1.924;-7.674;2.667;1.837
160;20_21_22;Bedroom;K;Lamp.019;-7.637;0.041;0.198;-7.726;0.053;0.348
161;21_22_23;LivingRoom;D;Chair;-1.214;-0.266;0.643;-1.244;-0.377;0.557
162;21_22_23;LivingRoom;E;Table.001;-1.235;0.78;0.398;-1.196;0.731;0.348
163;21_22_23;LivingRoom;F;Vase.006;-5.386;-3.457;0.359;-2.09;-0.953;0.866
164;21_22_23;Bathroom;G;Sink;-4.478;-0.841;0.768;-4.68;-0.967;0.726
165;21_22_23;Bathroom;H;Toilet;-5.563;-0.028;0.155;-5.983;-0.403;0.467
166;21_22_23;Kitchen;I;Sink.001;-8.965;3.591;0.398;-8.803;3.63;0.708
167;21_22_23;Kitchen;J;Shelf.003;-7.372;2.743;1.925;-7.674;2.667;1.837
168;21_22_23;Bedroom;K;Lamp.019;-7.629;0.072;0.192;-7.726;0.053;0.348
169;22_23_24;LivingRoom;D;Chair;-0.902;-0.43;-1.541;-1.244;-0.377;0.557
170;22_23_24;LivingRoom;E;Table.001;-1.24;0.78;0.442;-1.196;0.731;0.348
171;22_23_24;LivingRoom;F;Vase.006;-1.911;-0.755;1.091;-2.09;-0.953;0.866
172;22_23_24;Bathroom;G;Sink;-4.484;-0.837;0.758;-4.68;-0.967;0.726
173;22_23_24;Bathroom;H;Toilet;-5.526;-0.025;0.174;-5.983;-0.403;0.467
174;22_23_24;Kitchen;I;Sink.001;-8.998;3.621;0.457;-8.803;3.63;0.708
175;22_23_24;Kitchen;J;Shelf.003;-7.385;2.753;1.928;-7.674;2.667;1.837
176;22_23_24;Bedroom;K;Lamp.019;-7.601;0.072;0.187;-7.726;0.053;0.348
177;23_24_25;LivingRoom;D;Chair;-1.148;-0.252;0.902;-1.244;-0.377;0.557
178;23_24_25;LivingRoom;E;Table.001;-1.23;0.766;0.402;-1.196;0.731;0.348
179;23_24_25;LivingRoom;F;Vase.006;-1.967;-0.743;1.013;-2.09;-0.953;0.866
180;23_24_25;Bathroom;G;Sink;-4.485;-0.842;0.764;-4.68;-0.967;0.726
181;23_24_25;Bathroom;H;Toilet;-5.553;-0.039;0.142;-5.983;-0.403;0.467
182;23_24_25;Kitchen;I;Sink.001;-9.623;3.759;-1.138;-8.803;3.63;0.708
183;23_24_25;Kitchen;J;Shelf.003;-7.382;2.743;1.925;-7.674;2.667;1.837
184;23_24_25;Bedroom;K;Lamp.019;-3.069;2.257;-2.936;-7.726;0.053;0.348
185;24_25_26;LivingRoom;D;Chair;-1.147;-0.235;0.954;-1.244;-0.377;0.557
186;24_25_26;LivingRoom;E;Table.001;-1.232;0.799;0.394;-1.196;0.731;0.348
187;24_25_26;LivingRoom;F;Vase.006;-1.958;-0.753;0.974;-2.09;-0.953;0.866
188;24_25_26;Bathroom;G;Sink;-4.491;-0.855;0.771;-4.68;-0.967;0.726
189;24_25_26;Bathroom;H;Toilet;-4.99;0.618;-0.017;-5.983;-0.403;0.467
190;24_25_26;Kitchen;I;Sink.001;-8.977;3.595;0.388;-8.803;3.63;0.708
191;24_25_26;Kitchen;J;Shelf.003;-7.38;2.735;1.918;-7.674;2.667;1.837
192;24_25_26;Bedroom;K;Lamp.019;-7.605;0.065;0.154;-7.726;0.053;0.348
193;25_26_27;LivingRoom;D;Chair;-1.155;-0.25;0.906;-1.244;-0.377;0.557
194;25_26_27;LivingRoom;E;Table.001;-1.234;0.755;0.459;-1.196;0.731;0.348
